,category,sub_category,techs
10,Marketing,Email Deliverability,"['SocketLabs' 'Litmus' 'MasterBase' 'SMTP.com' 'Postmark' 'Pepipost'
 'Return Path' 'WhatCounts' 'Mailtrap' 'SparkPost' 'bounce.io'
 'SquirrelMail' 'CritSend' 'Email On Acid' 'DataValidation' 'turboSMTP'
 '250ok' 'AuthSMTP' 'PowerMTA' 'SMTP2GO' 'eDataSource' 'BriteVerify'
 'SendForensics' 'OpenSMPTD' 'EmailDelivered' 'EmailSuccess' 'InboxFirst'
 'WeDeliver.Email' 'Goolara' 'Email List Verify' 'Inboxman' 'VoloMP'
 'MailGems' 'TIBCO Slingshot']"
11,Marketing,Email Verification,"['Mailgun' 'DeBounce' 'Bouncer' 'Melissa' 'NeverBounce' 'Xverify'
 'Webbula' 'Snovio' 'Emailable' 'DataValidation' 'SellHack'
 'EmailOversight' 'Quick Email Verification'
 'Informatica Data as a Service (StrikeIron)' 'MailboxValidator'
 'Bounceless.io' 'MyEmailVerifier' 'Verifalia' 'mailboxlayer API' 'Proofy'
 'Email Hippo' 'FindThatLead' 'Email List Validation' 'Kickbox'
 'Bulk Email Checker' 'Email YoYo' 'Email Verifier App' 'Email Checker'
 'Email List Verify' 'RealValidation']"
12,Marketing,PR And Advertising Services,"['PRWeb' 'Firespring' 'Marketwired' 'eReleases' 'ResponseSource'
 'Business Wire' 'SHIFT Communications' 'AirPR' 'LaunchSquad'
 'BurrellesLuce' 'Uproar PR' 'Text100' 'Help A Reporter Out' 'CredPR'
 'SnappConner PR' 'PressKing' 'Promotehour' 'Intelligent Demand'
 'SwitchboardPR' 'Bhava Communications' 'AdvertStream'
 'The Silver Telegram' 'PR Hacker' 'PressFriendly' 'Brew PR' 'Upbeat'
 '280Blue' 'Mezzo Consultancy' 'TMPGovernment' 'Hogarth & Ogilvy'
 'Riddoch Communications']"
13,Marketing,Demand Side Platform (DSP),"['Rubicon Project' 'StackAdapt' 'Adform' 'SiteScout' 'Choozle' 'AdBlade'
 'Beeswax' 'Admedo' 'SmartyAds' 'TubeMogul' 'Localsensor' 'Specefic Media'
 'Tradelab' 'GetIntent' 'eyeReturn' 'Turn' 'Pocketmath PRO' 'ReactX'
 'iPinYou' 'Kritter' 'Taggify' 'Cappture' 'Byyd' 'TrafficAvenue']"
14,Marketing,Publisher Monetization,"['Google AdSense' 'Google Doubleclick' 'Sharethrough' 'Sovrn' '33Across'
 'rewardStyle' 'YTZ International' 'PubNative' 'Kiosked' 'Browsi'
 'Ad-Center' 'AerServ' 'Fluent' 'Vertoz' '360 Polaris' 'NativeAI'
 'Clickky' 'Ampiri' 'Celltick' 'Polymorph (formerly AdsNative)'
 'Tapgerine' 'BidGear Advertising Service' 'ConvertMedia' 'PubGears'
 'Vinteo.tv' 'Adverti' 'AdSorcery']"
15,Finance And Accounting,Direct Carrier Billing,['Boku' 'Bango' 'Telecoming' 'Fortumo' 'Centili']
16,Finance And Accounting,Financial Services,['NetSuite' 'OnBase' 'Seal' 'PhoneBurner' 'PayrollPanda' 'Ytel Platform']
17,Finance And Accounting,Insurance Policy,"['Oracle Insurance Policy Administration' 'InsureCert Systems Inc.'
 'IMT computer services' 'Insly' 'BriteCore' 'Indio Technologies']"
18,Finance And Accounting,Mobile Banking,['Chime' 'PayNearMe' 'MShift' 'Number26' 'NCR Digital Banking' 'Bankingly']
19,Finance And Accounting,Sales Tax,"['QuickBooks' 'Xero' 'Avalara' 'Sovos Intelligent Compliance Cloud'
 'TaxJar' 'TaxCloud']"
20,Finance And Accounting,Treasury Management,"['GTreasury' 'IVP Treasury' 'Salmon Software' 'Salmon Treasurer'
 'Treasury & Debt Management' 'Kyriba']"
21,Finance And Accounting,Commercial Loan,"['Turnkey Lender' 'FileInvite' 'Validis' 'The Nortridge Loan System'
 'LendFoundry']"
22,Product And Design,Animation,"['Autodesk 3ds Max' 'KeyShot' 'Animaker' 'Autodesk MotionBuilder'
 'Houdini' 'Toon Boom Harmony' 'Doodly' 'HTML5 Maker']"
23,Product And Design,Design Agencies And Services,"['Firmseek' 'Loftware' 'Manage Artworks' 'SIMsite' 'Blue Label Management'
 'Kallik']"
24,Product And Design,Digital Drawing And Painting,['ZBrush' 'Clip Studio Paint' 'Autodesk Sketchbook' 'PaintTool SAI']
25,Product And Design,"Mockups, Wireframing And Prototyping",['Storybook' 'Wireframe.cc' 'Framework 7' 'NinjaMock']
26,Product And Design,Website Templates,"['HubSpot Website Platform' 'Moonfruit' 'PageCloud' 'Apache FreeMarker'
 'CoffeeCup HTML Editor']"
27,Product And Design,Agile Project Management,['Hansoft' 'Planview LeanKit' 'Adventive' 'TCS Jile' 'Daptiv']
28,Product And Design,Creative Design Services,['Cadence Design Systems' 'Palantir' 'Kudoboard']
29,Product And Design,WYSIWYG Editors,['ViewPoint' 'FreeTextBox' 'Maqetta']
30,Customer Management,Expert Network,"['Clarity.fm' 'VidMob' 'Ebyline' 'OnFrontiers' 'Passle' 'SiteBy'
 'Jobstart' 'Lawbooth']"
31,Customer Management,Mobile Onboarding And Engagement,"['Motus' 'Train by Cell' 'VidCorp Video Communications Platform' '1LINK'
 'Appoxee' 'Pointzi' 'Elasticode' 'Appunfold' 'StreetHawk']"
32,Customer Management,Q And A Platform,['CON.FO' 'IntraLinks VDR' 'AnswerHub' 'Vevox' 'AllAnswered' 'Haydle']
33,Customer Management,Video Chat Support,"['Facebook Live' 'Katana' 'VideoDesk' 'SupportYourApp' 'Do You Dream Up'
 'Tagove' 'Glance Networks' 'VideoEngager' 'RichCall']"
34,Customer Management,Website Click To Call,"['CallPage' 'CallbackHunter' 'LiveCall' 'Perezvoni' 'CallKeeper'
 'Clicktex' 'Free Call' 'Binotel GetCall' 'Kixie PowerCall']"
35,Customer Management,Comment Plugin,"['Disqus' 'IntenseDebate' 'Gigya Comments Plugin' 'Spot.IM' 'Livefyre'
 'Vuukle' 'Viafoura' 'Facebook Comments']"
36,Customer Management,Support QA,['MaestroQA' 'Testlio' 'MiaRec' 'Calabrio ONE' 'Tracer']
37,Customer Management,In-App Support,['Chaport Live Chat' 'Kommunicate' 'Hybrid.Chat' 'Appunfold']
38,Programming Languages And Frameworks,Application Programming Interface,"['Google Dialogflow' 'InFlight' 'Gem.co' 'webMethods API Gateway'
 'FLEXCUBE Direct Banking' 'Software AG CentraSite'
 'webMethods API Portal' 'Akamai EAA']"
39,Programming Languages And Frameworks,Code-Free Chatbot Builders,"['ManyChat' 'AWS Chatbot' 'WATI' 'TARS' 'Kore.ai' 'Cognigy' 'Landbot'
 'Espressive' 'Rulai']"
40,Programming Languages And Frameworks,In-Memory Data Store,"['Redis' 'Hazelcast' 'Intel Optane' 'TIBCO ActiveSpaces'
 'Terracotta Ehcache' 'Software AG Terracotta' 'Terracotta BigMemory'
 'VMware Tanzu GemFire']"
41,Programming Languages And Frameworks,Mobile App Dev Platform,"['Xamarin' 'Adobe PhoneGap' 'AWS Mobile Services' 'IBM MobileFirst' 'Kony'
 'Symantec Athena' 'IBM Mobile Foundation' 'IBM Spectrum Conductor']"
42,Programming Languages And Frameworks,Content Slider,"['FlexSlider' 'Smart Slider 3' 'bxSlider' 'Amazing Slider' 'Hi Slider'
 'CoffeeCup Content Slider']"
43,Programming Languages And Frameworks,Enterprise Search,"['Apache Solr' 'Google Cloud Search' 'Amazon OpenSearch Service'
 'IBM Watson Explorer' 'Zoek: Search Defined' 'IBM Watson Discovery']"
44,Programming Languages And Frameworks,JS Build Tools And Task Runners,['Gulpjs' 'Grunt' 'Brunch' 'Apache Aurora']
45,IT Security,Video Surveillance,"['Hikvision' 'Eagle Eye Networks' 'iSpy' 'ZoneMinder' 'Blue Iris'
 'SmartVue' 'MangoCam' 'webcamXP' 'VisionGS'
 'DeskShare Security Monitor Pro']"
46,IT Security,Biometric Security,"['CrossMatch' 'Socure' 'DataGrail' 'eSSL' 'EveVerify' 'Ikena Forensic'
 'Omega Technology' 'Realtime Biometrics' 'Dyadic']"
47,IT Security,Server Backup,"['CrashPlan' 'Rubrik' 'IBM Sterling Secure Proxy' 'GoodSync'
 'Resilio Connect' 'IBM System p Server' 'CloudRanger' 'Unitrends MSP'
 'Acronis Backup' 'Vembu BDR Suite']"
48,IT Security,CAPTCHA,"['reCAPTCHA' 'BotDetect Captcha' 'KeyCAPTCHA' 'Solve Media' 'FunCaptcha'
 'Are You a Human' 'sweetCaptcha' 'NuCaptcha' 'Captch Me' 'Simpli5d']"
49,IT Security,Cryptographic Key Management,"['Gemalto SafeNet KeySecure' 'AWS Key Management Service (KMS)'
 'Google Cloud Key Management Service' 'EnvKey' 'Dogtag PKI' 'KeyNexus'
 'MicroFocus Enterprise Secure Key Manager (ESKM)' 'Acra' 'Dyadic']"
50,IT Security,Mobile App Security,"['SEWORKS AppSolid' 'PerimeterX Bot Defender' 'HyporiVirtual' 'Onegini'
 'Appknox']"
51,IT Security,Corporate Governance And Compliance,"['RSA Archer' 'Oracle Financial Services Analytical Application' 'Mineral'
 'Ab Initio Metadata Hub' 'Authomize' 'Compliance Accelerator'
 'Alfresco Governance Services (RM)']"
52,Finance And Accounting,Financial Planning,"['RightCapital' 'Workday Adaptive Insights' 'Planful' 'Advizr' 'Paro'
 'Jirav' 'Brixx' 'Flinks' 'Runway' 'SAS Capital Planning And Management'
 'Fast409A']"
53,Finance And Accounting,Cap Table Management,"['Carta (formerly eShares)' 'OpTrack' 'Ledgy' 'Angeloop' 'Captable.io'
 'CapLinked' 'Capshare' 'Certent Equity Compensation Management'
 'TruEquity' 'Gust Equity Management' 'Capyx']"
54,Finance And Accounting,Mobile Wallet,"['Privacy' 'DUE' 'Apple Pay' 'Coinbase Wallet' 'Neteller' 'MasterPass'
 'Google Wallet' 'Paydiant' 'Mozido' 'PayApp']"
55,Finance And Accounting,Credit Reporting,"['myFICO' 'TransUnion' 'Creditsafe' 'CreditorWatch' 'Pinch' 'CGI ACAPS'
 'Credit Time 2000']"
56,Finance And Accounting,Fund Accounting,"['NetSuite' 'Xero' 'Sage Intacct' 'Aplos Accounting' 'ShelbyNext'
 'Blackbaud Financial Edge NXT' 'SmartSimple GMS360' 'FIS Investran'
 'AccuFund for Nonprofits' 'ACCOUNTS' 'NonProfitPlus']"
57,Finance And Accounting,Personal Expense Management,"['LearnVest' 'Truebill' 'FileThis' 'PocketSmith' 'Spendee' 'Mobills'
 'Fentury']"
58,Finance And Accounting,SaaS Spend Optimization,"['Blissfully' 'Zylo' 'Flexera One' 'Vendr' 'Alpin' 'Intello' 'Cleanshelf'
 'Sastrify' 'Cloud Eagle' 'Cardlife' 'Siftery Track']"
59,Finance And Accounting,Utility Billing,"['mpower' 'Oracle Utilities' 'Utilitybilling' 'Muni-Link' 'UtilityTrakR'
 'MuniBilling' 'Watchwire' 'ABIS' 'SURE!' 'SkyBill Utility']"
60,Business Intelligence And Analytics,Stream Processing,"['Apache Spark' 'Apache Flink' 'Apache Storm' 'Microsoft App-V'
 'Apache Spark Streaming' 'ExtraHop' 'Azure Text Analytics'
 'Amazon Kinesis Data Streams (KDS)' 'Apama' 'Apache Samza'
 'Apache RocketMQ' 'Apache Heron' 'Splunk Data Stream Processor (DSP)'
 'Azure Video Indexer' 'Apache Gearpump' 'Apama Streaming Analytics']"
61,Business Intelligence And Analytics,Data Discovery,"['Tableau Software' 'Alteryx' 'TIBCO Spotfire' 'WebFOCUS' 'amoCRM'
 'Netwrix Auditor' 'Teradata Aster' 'Oracle Analytics Server' 'Logikcull'
 'data.world' 'AnswerRocket' 'Microsoft Equivio']"
62,Business Intelligence And Analytics,Big Data Infrastructure,"['Apache Spark' 'Amazon Redshift' 'Amazon EMR' 'Cloudera' 'Apache Hive'
 'Google Cloud Dataproc' 'Treasure Data' 'Qubole' 'Vertica' 'GridGain'
 'BlueData' 'Apache Bigtop']"
63,Business Intelligence And Analytics,Conversion Optimization,"['Optimizely' 'Amazon Lex' 'Kaizen Platform' 'AnyTrack.io' 'AddShoppers'
 'Amazon Polly' 'ConvertFlow' 'Google Ads Conversion' 'CXL' 'Avaamo'
 'Convertful']"
64,Business Intelligence And Analytics,Text Mining,"['Apache Lucene' 'Clarabridge' 'Mozenda' 'Crimson Hexagon'
 'Funnel Science' 'Semantria' 'SAS Visual Text Analytics' 'Apache Lucy'
 'PrediCX']"
65,Business Intelligence And Analytics,Data Preparation,"['Trifacta' 'Datawatch' 'Tamr' 'TIBCO Clarity' 'Paxata' 'Cloud Dataprep'
 'K3' 'CA Fast Unload']"
66,Business Intelligence And Analytics,Data API,"['DeviceAtlas' 'Cerner Open Engine' 'Railz ai' 'IBM StrongLoop' 'FowardAI'
 'Haven OnDemand' 'Stepzen']"
67,Business Intelligence And Analytics,Event And Log Data Analysis,"['Coralogix' 'ASG-Zena' 'Interana' 'CA Log Analyzer' 'ASG Zeke'
 'Apache Chainsaw' 'ASG Zebb']"
68,Programming Languages And Frameworks,Debugging Tools,"['Fiddler' 'JS Bin' 'Tenon' 'OllyDbg' 'CodeLobster IDE' 'CA InterTest'
 'Opera Dragonfly' 'Error Prone' 'Vorlon.JS' 'Chronon' 'PVS-Studio']"
69,Programming Languages And Frameworks,FTP And File Uploads,"['FileZilla' 'AWS Trusted Advisor' 'ExaVault Cloud FTP'
 'AWS Transit Gateway' 'Cyberduck' 'IBM Sterling File Gateway' 'Serv-U'
 'TIBCO Managed File Transfer' 'IBM Sterling Control Center'
 'AWS Transfer for SFTP' 'Progress MOVEit' 'Apache FtpServer'
 'IBM Spectrum Archive' 'IBM Sterling Secure File Transfer'
 'JSCAPE MFT Server' 'Software AG Natural Construct']"
70,Programming Languages And Frameworks,Graphing Tools And Libraries,"['Adobe Stock' 'Sigma' 'GraphPad Prism' 'Google Fonts' 'OriginPro'
 'ggplot2' 'SigmaPlot' 'Grapher' 'Rickshaw' 'JumpStory']"
71,Programming Languages And Frameworks,Languages,"['JavaScript' 'Java' 'MATLAB' 'C++' 'SAS Base' 'C' 'Ada' 'Rust' 'Swift'
 'Clojure' 'Haskell' 'F#' 'Scala']"
72,Programming Languages And Frameworks,Cloud IDE,"['Android Studio' 'Vagrant' 'ActiveState' 'AWS Cloud9' 'IBM Cloud Paks'
 'IBM Cloud Private' 'IBM Rational Developer for i' 'NaturalONE'
 'SUSE OpenStack Cloud']"
73,Programming Languages And Frameworks,Image Processing API,"['ImageJ' 'Amazon Rekognition' 'imgix' 'Google Cloud Vision API' 'ACDSee'
 'ImageKit' 'Red Hat Quay' 'Microsoft Computer Vision API' 'PhotoScape X']"
74,Programming Languages And Frameworks,CSS Preprocessor,"['Sass' 'Tachyons' 'styled-components' 'Compass' 'Stylus' 'LiveReload'
 'Prepros']"
75,Programming Languages And Frameworks,Site Search,"['Chrome' 'Microsoft Bing' 'Mozilla Firefox' 'Apple Safari' 'Opera'
 'Microsoft FAST ESP' 'Hawksearch' 'elicit']"
76,Productivity And Operations,Automobile Dealership Management,"['Dealertrack' 'Reynolds and Reynolds' 'Dealer Inspire' 'Dealersocket'
 'GForces NetDirector' 'CDK Global' 'AutoRevo' 'All Auto Network'
 'CDK Drive' 'Dealers Cloud' 'Outsell' 'BluSolutions']"
77,Productivity And Operations,Enterprise Asset Management Software,"['ARCHIBUS' 'Autodesk Construction' 'Aspen Technology' 'SAP Asset Manager'
 'SAP Syclo' 'SAP S/4HANA Asset Management'
 'SAP Mobile Asset Management (MAM)' 'Oracle Maintenance Cloud'
 'SAP Service and Asset Management' 'Bigfoot CMMS' 'MVP Plant'
 'Spartan Solutions']"
78,Productivity And Operations,Other Restaurant And Hospitality Tools,"['Fishbowl' 'Boxever' 'ChowNow' 'iPro Software' 'Maxxton' 'res:harmonics'
 'Hostify' 'Uplisting' 'Spring Engage' 'FantasticStay']"
79,Productivity And Operations,Legal Case Management,"['Amicus Attorney' 'Needles' 'TrialWorks' 'Filevine' 'Odyssey'
 'SmartAdvocate' 'CASEpeer' 'Acuity ELM' 'Aderant Handshake']"
80,Productivity And Operations,Child Care And Daycare Management,"['ChildCareCRM' 'brightwheel' 'DayCare Works' 'Procare' 'Kidsoft'
 'Kinderlime' 'EZCare' 'LifeCubby' 'KidKare']"
81,Productivity And Operations,Church Management,"['ACS Technologies' 'Church Community Builder' 'Servant Keeper' 'Pushpay'
 'TouchPoint Church Management Software' 'ChurchTrac' 'Churchteams'
 'IconCMO']"
82,Productivity And Operations,Appointment Scheduling,"['AppointmentCore' 'Occasion' 'Clara' 'Veribook' 'GigaBook' 'ConexED'
 'Store Vantage' 'Web Appointments']"
83,Productivity And Operations,Entertainment Vertical Software,"['Red Giant' 'Avid Sibelius' 'Avid Interplay' 'Maxon Cinema 4D' 'Fordela'
 'MyMediaInfo' 'NicePeopleAtWork' 'BrightLine']"
84,HR,Volunteer Management,"['SignUpGenius' 'NationBuilder' 'Samaritan' 'Volgistics' 'VolunteerLocal'
 'DonorSnap' 'Configio' 'Giveffect' 'Shiftboard' 'InitLive' 'YourMatch'
 'NewOrg' 'Event Essentials' 'VolunteerMark' 'eCoordinator' 'KeepnTrack'
 'Get Connected' 'InvolveSoft' 'Timecounts']"
85,HR,401(K) Retirement Planning,"['ADP Retirement Services' 'Empower Retirement' 'ForUsAll'
 'Transamerica Retirement Solutions' 'Financial Engines' 'Human Interest'
 'shareBUILDER401k' 'HonestDollar' 'RetireUp' 'Guideline' '401(k) Easy'
 'AskTrack' 'OctaveWealth']"
86,HR,Recruiting Agency,"['Bullhorn' 'CSOD Recruiting' 'PCRecruiter' 'CVWarehouse' 'BrightMove'
 'Jobsoid' 'Vincere' 'TrackerRMS' 'iSmartRecruit' 'TalentClick'
 'SignalHire' 'Kortivity' 'Talentwunder' 'Hirewell' 'Candidate Labs']"
87,HR,Video Interview,"['Spark Hire' 'Jobsoid' 'Blizz' 'RecRight' 'Odro' 'GoReact'
 'VidInterviewing' 'Wepow' 'EasyHire.me' 'Kira Talent' 'Acrew' 'FaceCruit'
 'TalentHarness']"
88,HR,Engineer Recruiting,"['Toptal' 'Honeypot' 'WP Curve' 'OfferZen' 'Supersourcing' 'CodeEval'
 'CodeGuild' 'Djangojobs' 'Gitlead']"
89,HR,"Leadership, Mentoring And Strategy","['WalkMe' 'Sapling' 'WorkRamp' 'Userlane' 'HROnboard' 'VUE Software'
 'Initiafy' 'GoCo' 'myjoboffer.com.au' 'cFlow']"
90,HR,Succession Planning,"['SilkRoad Performance' 'Empxtrack'
 'SAP SuccessFactors Workforce Planning' 'MentorcliQ' 'TalentNeuron'
 'TalentGuard Performance Management' 'Built for Teams' 'SutiHR'
 'Lanteria HR']"
91,HR,Corporate Mentoring,['Uvize' 'AllenComm' 'Mentor Scout' 'CommLab India' 'SweetRush' 'MentorMe']
92,Devops And Development,Mobile Device Management,"['MobileIron' 'Fiberlink' 'IBM MaaS360' 'Addigy' 'BlackBerry Work'
 'Cisco Meraki Systems Manager' 'CiscoView' 'Scalefusion'
 'Lightspeed Platform (Formerly Relay)' 'Servify' 'Fleetsmith'
 'ManageEngine Mobile Device Manager Plus' 'Hexnode UEM'
 'Ivanti Avalanche' 'Soti MobiControl' 'Ivanti Mobile Security']"
93,Devops And Development,Containerization,"['Docker' 'Google Kubernetes Engine' 'Apache Mesos' 'VMware Tanzu'
 'Oracle Solaris Zones' 'CoreOS' 'Red Hat OpenShift Container Platform'
 'LXC' 'Red Hat OpenShift 4.x' 'Mesosphere' 'Red Hat OpenShift 3.x']"
94,Devops And Development,Build Automation,"['GNU Make' 'Pantheon' 'Apache Maven' 'Apache Ant' 'MSBuild'
 'Microsoft NuGet' 'Gradle' 'CMake' 'Siemens EDA' 'PMG Platform'
 'Red Hat Ansible Automation Platform' 'Craftable' 'Robocorp']"
95,Devops And Development,Error And Exception Monitoring,"['Sentry' 'Bugsnag' 'TrackJS' 'Errorception' 'Honeybadger'
 'ServiceNow Problem Management' 'Airbrake' 'Rollbar' 'Raygun'
 'Exceptionless' 'Qbaka']"
96,Devops And Development,Infrastructure Monitoring,"['Amazon CloudWatch' 'IBM Tivoli' 'Zenoss' 'Splunk APM' 'Sensu'
 'Splunk Observability' 'M/Monit' 'Ganglia' 'Software AG Command Central'
 'DX Infrastructure Manager' 'Apache Chukwa'
 'Splunk App for Infrastructure']"
97,Devops And Development,Document Management System,"['IBM FileNet' 'OpenText Captiva' 'GE Centricity Perinatal' 'Review Board'
 'Catalyst Repository Systems' 'Actuate BIRT Spreadsheet' 'DocuXplorer'
 'IBM BDAM' 'Actuate Xenos']"
98,Devops And Development,Wordpress Hosting,"['WP Engine' 'Hostinger' 'Kinsta' 'WPX Hosting' 'Bluehost' 'Flywheel'
 'Pagely' 'ServInt' 'Pressable' 'Geo Landing Pages']"
99,Devops And Development,DNS Services,"['Google Cloud DNS' 'NSONE' 'BuddyNS' 'CloudfloorDNS' 'Zonomi'
 'Dynamic DNS' 'DNS Max' 'Akamai Edge DNS']"
100,Productivity And Operations,Fundraising And Donation Management,"['Qgiv' 'DonorDrive' 'NGP VAN' 'Kindful' 'OneCause' 'Handbid'
 'Network for Good' 'Salesforce Nonprofit Success Pack' 'iWave'
 'DonorSearch' 'Blackbaud Luminate Online' ""Blackbaud Raiser's Edge NXT""
 'Greater Giving Event' 'Givebutter' 'GiveGab' 'Luminate'
 'JacksonRiver SpringBoard']"
101,Productivity And Operations,Office Suites,"['Google Workspace' 'Microsoft Office' 'Google Sheets' 'WordPerfect'
 'Xerox' 'Zoho' 'Microsoft BPOS' 'Microsoft Office 2013' 'LibreOffice'
 'WPS Office' 'Apache OpenOffice' 'Microsoft Office 365 E5'
 'Zoho Office Suite' 'Coda' 'Microsoft Office 365 E3']"
102,Productivity And Operations,Real Estate Marketing,"['Placester' 'Real Geeks' 'Buildout' 'IXACT Contact' 'RealtyMX'
 'IBM TRIRIGA' 'Gabriels Technology Solutions' 'CINC' 'Boston Logic'
 'Redfin' 'PERQ' 'Follow Up Boss' 'TORCHx' 'Market Leader' 'TRIBUS']"
103,Productivity And Operations,Real Estate CRM,"['Placester' 'IXACT Contact' 'Gabriels Technology Solutions' 'Agentbox'
 'Zenu' 'Z57 Solutions PropertyPulse' 'Reonomy' 'kvCORE' 'Apto'
 'IXACT Contact Real Estate CRM' 'The Wise Agent' 'TRIBUS' 'Brivity'
 'SAP Cloud for Real Estate']"
104,Productivity And Operations,Inventory Management,"['AWS Systems Manager' 'Workday Inventory' 'Fishbowl Inventory' 'Cin7'
 'NiceLabel' 'inFlow Inventory' 'HandiFox'
 'Oracle Inventory Management Cloud'
 'Oracle Retail Advanced Inventory Planning' 'Odoo Inventory']"
105,Productivity And Operations,Manufacturing Vertical Software,"['SAP Manufacturing Integration' 'Fishbowl Inventory' 'MISys'
 'Siemens SIMATIC IT' 'traksys' 'Autodesk PowerMill' 'Apriso FlexNet'
 'Siemens Tecnomatix' 'Autodesk FeatureCAM' 'Quantum'
 'Autodesk PowerInspect' 'Oracle PeopleSoft Manufacturing'
 'Autodesk PartMaker']"
106,Productivity And Operations,Restaurant Reservation Software,"['OpenTable' 'Resy' 'Tock' 'SevenRooms' 'TableAgent'
 'Cake Restaurant Reservation System' 'Yelp Reservations' 'Wisely' 'Eveve'
 'Eat App' 'Tablein' 'Oracle Gloriafood' 'WebReserv']"
107,Customer Management,Customer Self Service,"['Ada Support' 'Elevio' 'ServiceNow Request Management' 'Helpjuice'
 'Zendesk Answer Bot' 'Inbenta' 'inSided' 'MindTouch' 'Thumbtack'
 'AgentBot' 'Salesforce Customer Portal' 'Support Hero' 'KnowledgeOwl'
 'HubSpot Service Hub' 'RightAnswers' 'Jacada' 'Moxie Concierge' 'Bold360'
 'Creative Virtual V-Person' 'AnswerDash' 'BotEngine.ai' 'Chatfuel'
 'Avaya Ava' 'Team Sales Agent']"
108,Customer Management,Appointment Reminder,"['MINDBODY' 'Twilio' 'Demandforce' 'SimplyBook.me' 'Square Appointments'
 'Genbook' 'WellnessLiving' 'vCita Business App' 'OperaDDS' 'MessageBird'
 'Frederick' '10to8' 'Phreesia' 'booxi' 'EZ Texting' 'FlexyBeauty'
 'BookSteam' 'Appointment Reminder' 'Petal Booking (PetalMD)'
 'AppointmentPlus' 'Twilio Appointment Reminder' 'Ytel Platform']"
